job_id,title,required_skills,min_experience,level,salary_range,location
10180,Merchandising Manager,"Kinh nghiệm với Agile/Scrum methodology,Kỹ năng time management và priority setting tốt,Thành thạo React, Vue.js hoặc Angular,Kinh nghiệm sử dụng Git và quy trình Git Flow,Hiểu biết về microservices architecture,Hiểu biết về Security best practices,Hiểu biết về accessibility standards (WCAG)",0,Phó giám đốc,30000000,Hà Nội
10310,SEO Specialist,"Kinh nghiệm với state management (Redux, MobX),Hiểu biết về data structures và algorithms,Kỹ năng phân tích và thiết kế hệ thống tốt,Hiểu biết sâu về OOP và Design Patterns,Hiểu biết về CI/CD pipelines và DevOps practices,Có kinh nghiệm làm việc với SQL và NoSQL databases,Hiểu biết về accessibility standards (WCAG),Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript",0,Phó giám đốc,36000000,Hà Nội
10367,GCP Engineer,"Thành thạo React, Vue.js hoặc Angular,Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực tương tự,Kỹ năng time management và priority setting tốt,Kỹ năng debugging và problem-solving tốt,Kinh nghiệm với automated testing và TDD,Kinh nghiệm làm việc trong môi trường startup là lợi thế,Kinh nghiệm với state management (Redux, MobX),Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành",1,Chuyên viên,31000000,Hà Nội
10436,Financial Analyst,"Khả năng làm việc độc lập và teamwork hiệu quả,Kinh nghiệm optimize SEO cho web applications,Tốt nghiệp Đại học chuyên ngành liên quan đến công nghệ,Có khả năng học hỏi công nghệ mới nhanh chóng,Kinh nghiệm sử dụng Git và quy trình Git Flow,Hiểu biết về RESTful API design và GraphQL,Kinh nghiệm với Agile/Scrum methodology,Kỹ năng debugging và problem-solving tốt",1,Phó giám đốc,24000000,Hà Nội
10330,Growth Analyst,"Kinh nghiệm sử dụng Git và quy trình Git Flow,Kinh nghiệm optimize performance cho web và mobile,Có portfolio hoặc Github projects để tham khảo,Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành,Kinh nghiệm với Agile/Scrum methodology,Hiểu biết về Security best practices",1,Quản lý,10000000,Hà Nội
9982,Game Developer,"Kinh nghiệm làm việc trong môi trường startup là lợi thế,Tốt nghiệp Đại học chuyên ngành liên quan đến công nghệ,Có passion cho coding và công nghệ mới,Hiểu biết về CI/CD pipelines và DevOps practices,Thành thạo HTML5, CSS3 và responsive design,Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành,Hiểu biết về data structures và algorithms,Kinh nghiệm với message queues (RabbitMQ, Kafka)",5,Trưởng nhóm,18000000,Hà Nội
9997,Data Analyst,"Kinh nghiệm với automated testing và TDD,Kỹ năng phân tích và thiết kế hệ thống tốt,Kinh nghiệm làm việc trong môi trường startup là lợi thế,Thành thạo TypeScript cho frontend development,Có khả năng học hỏi công nghệ mới nhanh chóng,Kỹ năng time management và priority setting tốt",2,Trưởng nhóm,6000000,Hà Nội
10832,Network Engineer,"Kinh nghiệm với testing frameworks (Jest, Mocha, JUnit),Có portfolio hoặc Github projects để tham khảo,Kinh nghiệm với Docker và container orchestration,Kỹ năng time management và priority setting tốt,Có kinh nghiệm làm việc với SQL và NoSQL databases,Hiểu biết về RESTful API design và GraphQL,Kỹ năng phân tích và thiết kế hệ thống tốt,Kinh nghiệm optimize performance cho web và mobile",1,Quản lý,21000000,Hà Nội
9978,Team Leader,"Có khả năng học hỏi công nghệ mới nhanh chóng,Kinh nghiệm với serverless architecture,Kinh nghiệm với automated testing và TDD,Kinh nghiệm sử dụng Git và quy trình Git Flow,Kinh nghiệm với testing frameworks (Jest, Mocha, JUnit),Hiểu biết về Security best practices,Kinh nghiệm với Spring Boot hoặc Django framework,Hiểu biết về accessibility standards (WCAG),Khả năng làm việc độc lập và teamwork hiệu quả,Kinh nghiệm với state management (Redux, MobX)",2,Giám sát,20000000,Hà Nội
10040,Network Security Engineer,"Kinh nghiệm với state management (Redux, MobX),Hiểu biết về Security best practices,Có portfolio hoặc Github projects để tham khảo,Thành thạo TypeScript cho frontend development,Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành,Kỹ năng time management và priority setting tốt,Hiểu biết sâu về OOP và Design Patterns,Kinh nghiệm làm việc trong dự án quốc tế,Tốt nghiệp Đại học chuyên ngành liên quan đến công nghệ",5,Trưởng nhóm,25000000,Hà Nội
